location,price,title
"M-202, BLOCK M, HARMONI APARTMENT, NO. 55, JALAN PJU 10/4C, DAMANSARA DAMAI, 47830 PETALING JAYA, SELANGOR, Damansara Damai, Selangor.","RM 162,000","M-202, BLOCK M, HARMONI APARTMENT, NO. 55, JALAN PJU 10/4C, DAMANSARA DAMAI, 47830 PETALING JAYA, SE (ID: 66707)"
"Damansara Damai, Petaling Jaya, Selangor.","RM 240,000",Bayu Apartment (ID: 66648)
"Damansara Damai, Petaling Jaya, Selangor.","RM 695,000",Armanee Condominium  (ID: 66369)
"Kelana Jaya, Selangor.","RM 799,000",2 STOREY SS8 KELANA JAYA PETALING JAYA (ID: 66483)
"Seksyen 14, Petaling Jaya, Selangor.","RM 2,600,000",Seksyen 14 Petaling jaya (ID: 65991)
"Kota Damansara, Selangor.","RM 2,290,000",2 Storey Superlink COrner Lot Seksyen 11 Kota Damansara Petaling Jaya. (ID: 65403)
"Petaling Jaya, Selangor.","RM 2,700,000",Petaling Jaya Bungalow (ID: 64284)
"Section 14, Petaling Jaya, Selangor.","RM 510,000",Millennium Place (ID: 63761)
"Jalan Sultan Ismail, Petaling Jaya, KLCC, Kuala Lumpur.","RM 1,062,800","Quill Residence @ Jalan Sultan Ismail , Petaling Jaya (ID: 62931)"
"Section 13, Petaling Jaya, Selangor.","RM 425,000",PJ Centrestage (ID: 58576)
location,price,title
"M-202, BLOCK M, HARMONI APARTMENT, NO. 55, JALAN PJU 10/4C, DAMANSARA DAMAI, 47830 PETALING JAYA, SELANGOR, Damansara Damai, Selangor.","RM 162,000","M-202, BLOCK M, HARMONI APARTMENT, NO. 55, JALAN PJU 10/4C, DAMANSARA DAMAI, 47830 PETALING JAYA, SE (ID: 66707)"
"Damansara Damai, Petaling Jaya, Selangor.","RM 240,000",Bayu Apartment (ID: 66648)
"Damansara Damai, Petaling Jaya, Selangor.","RM 695,000",Armanee Condominium  (ID: 66369)
"Kelana Jaya, Selangor.","RM 799,000",2 STOREY SS8 KELANA JAYA PETALING JAYA (ID: 66483)
"Seksyen 14, Petaling Jaya, Selangor.","RM 2,600,000",Seksyen 14 Petaling jaya (ID: 65991)
"Kota Damansara, Selangor.","RM 2,290,000",2 Storey Superlink COrner Lot Seksyen 11 Kota Damansara Petaling Jaya. (ID: 65403)
"Petaling Jaya, Selangor.","RM 2,700,000",Petaling Jaya Bungalow (ID: 64284)
"Section 14, Petaling Jaya, Selangor.","RM 510,000",Millennium Place (ID: 63761)
"Jalan Sultan Ismail, Petaling Jaya, KLCC, Kuala Lumpur.","RM 1,062,800","Quill Residence @ Jalan Sultan Ismail , Petaling Jaya (ID: 62931)"
"Section 13, Petaling Jaya, Selangor.","RM 425,000",PJ Centrestage (ID: 58576)
title
Example Domain
